Universidad	P.T.Junio	P.M.Junio	P.T.Septiembre	P.M.Septiembre	A.T.Junio	A.M.Junio	A.T.Septiembre	A.M.Septiembre
Alcalá de Henares	2871	1656	564	326	2612	1483	428	230
Alicante	2993	1778	662	323	2873	1694	582	284
Almería	2308	1338	502	264	1935	1103	162	81
Autónoma de Barcelona	4863	2718	658	321	4685	2606	503	241
Autónoma de Madrid	6985	3732	1136	544	6700	3573	812	375
Barcelona	6832	3834	957	471	6497	3633	745	345
Burgos	919	532	130	76	902	521	119	68
Cádiz	4515	2486	1020	552	4344	2385	855	447
Cantabria	1582	883	270	121	1551	868	218	100
Carlos III	2991	1768	589	320	2772	1641	441	234
Castilla-La Mancha	6491	3801	1168	679	6257	3646	785	447
Complutense de Madrid	9046	4892	1524	697	8571	4619	1136	506
Córdoba	3384	1915	702	356	3219	1827	571	288
Extremadura	4508	2576	1073	617	4315	2451	884	497
Girona	2298	1407	320	160	2216	1355	250	123
Granada	4875	2716	1144	578	4584	2618	873	447
Huelva	1499	854	403	233	1430	810	327	182
Illes Balears	3110	1685	669	343	2993	1618	583	299
Jaén	2860	1675	692	353	2738	1599	543	272
Jaume I de Castellón	1913	1148	370	185	1895	1145	359	181
La Laguna	3588	2055	591	297	3488	1995	506	245
La Rioja	996	585	229	129	965	565	208	115
León	1359	810	253	140	1298	767	214	114
Lleida	1444	854	236	103	1387	822	189	78
Málaga	5568	3170	1204	640	5283	3005	807	421
Miguel Hernández de Elche	2852	1643	719	374	2748	1573	646	332
Murcia (2)	5343	3044	1315	702	5032	2839	1105	580
Oviedo	1640	1068	134	92	1442	939	83	60
Pablo de Olavide	858	518	231	136	812	488	161	93
País Vasco	7855	4325	1430	669	7656	4208	1255	586
Palmas (Las)	3861	2176	679	340	3769	2123	609	300
Politécnica de Catalunya	4448	2510	610	317	4237	2388	505	258
Politécnica de Madrid	721	387	150	71	653	348	109	55
Politécnica de Valencia	3683	2093	663	335	3384	1916	486	237
Pompeu Fabra	1818	999	297	136	1751	961	253	122
Pública de Navarra	2340	1350	441	225	2229	1281	361	189
Rey Juan Carlos	2011	1145	384	206	1842	1042	296	150
Rovira i Virgili	2279	1321	328	174	2199	1268	257	138
Salamanca	2131	1246	494	271	2064	1204	431	238
Santiago de Compostela (3)	8559	5019	2126	1104	7997	4678	1302	635
Sevilla	6629	3720	1463	752	6230	3481	1040	530
Valencia (Est. General)	4914	2868	806	377	4773	2781	707	322
Valladolid	2678	1487	487	266	2554	1414	408	215
Zaragoza	4695	2727	987	529	4498	2610	845	441
