Pos	Club	Country	Part	Titles	Pld	W	D	L	F	A	Pts	GD
1	Real Madrid	ESP	20	4	217	128	42	47	450	234	298	216
2	FC Barcelona	ESP	20	4	211	123	51	37	425	208	297	217
3	Manchester-United FC	ENG	20	2	205	109	54	42	348	191	272	157
4	FC Bayern-München	GER	19	2	204	110	46	48	375	211	266	164
5	AC Milan	ITA	17	3	165	74	49	42	231	156	197	75
6	Arsenal FC	ENG	18	0	166	78	39	49	257	184	195	73
7	Juventus 	ITA	16	1	154	73	43	38	238	154	189	84
8	Chelsea FC	ENG	14	1	145	73	42	30	245	126	188	119
9	FC Porto	POR	20	1	161	68	41	52	209	182	177	27
10	Olympique Lyonnais	FRA	13	0	111	50	26	35	180	132	126	48
11	FC Milano	ITA	11	1	105	50	26	29	148	118	126	30
12	Valencia CF	ESP	10	0	97	43	28	26	146	96	114	50
13	Borussia Dortmund	GER	10	1	90	44	19	27	138	102	107	36
14	Liverpool FC	ENG	9	1	88	40	26	22	129	82	106	47
15	AFC Ajax	NED	13	1	102	39	28	35	129	115	106	14
16	Olympiacos FC	GRE	17	0	109	38	20	51	133	178	96	-45
17	Paris Saint-Germain	FRA	8	0	69	36	14	19	120	78	86	42
18	PSV Eindhoven	NED	14	0	95	32	19	44	96	135	83	-39
19	Bayer-04 Leverkusen	GER	10	0	86	32	17	37	126	147	81	-21
20	Galatasaray AS	TUR	14	0	103	27	25	51	105	174	79	-69
21	FC Dynamo-Kyiv	UKR	15	0	100	27	24	49	122	154	78	-32
22	SL Benfica	POR	11	0	75	28	20	27	81	84	76	-3
23	AS Roma	ITA	9	0	76	26	22	28	98	112	74	-14
24	FC Shakhtar-Donetsk	UKR	11	0	73	26	13	34	106	117	65	-11
25	Club Atlético-de-Madrid	ESP	6	0	50	24	16	10	79	43	64	36
26	Panathinaikos FC	GRE	9	0	74	23	18	33	76	104	64	-28
27	RC Deportivo-La-Coruña	ESP	5	0	58	23	15	20	74	79	61	-5
